# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cycles:P'
# Event count (approx.): 3030505634070
#
# Overhead  Command        Shared Object              Symbol                                     
# ........  .............  .........................  ...........................................
#
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733f3
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b4d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073193
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733c0
     0.00%  my_executable  [kernel.vmlinux]           [k] get_mem_cgroup_from_mm
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b2b
     0.00%  my_executable  [kernel.vmlinux]           [k] timerqueue_add
     0.00%  my_executable  [kernel.vmlinux]           [k] link_path_walk.part.0.constprop.0
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731f7
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_lruvec_lock_irqsave
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732f1
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000739d8
     0.00%  my_executable  [kernel.vmlinux]           [k] blk_cgroup_congested
     0.00%  my_executable  [kernel.vmlinux]           [k] sugov_iowait_boost
     0.00%  my_executable  [kernel.vmlinux]           [k] vma_policy_mof
     0.00%  my_executable  [kernel.vmlinux]           [k] update_dl_rq_load_avg
     0.00%  my_executable  [kernel.vmlinux]           [k] change_huge_pmd
     0.00%  my_executable  [kernel.vmlinux]           [k] psi_task_change
     0.00%  my_executable  [kernel.vmlinux]           [k] ntp_get_next_leap
     0.00%  my_executable  [kernel.vmlinux]           [k] pmd_pfn
     0.00%  my_executable  [kernel.vmlinux]           [k] task_numa_work
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000037537
     0.00%  my_executable  [kernel.vmlinux]           [k] psi_group_change
     0.00%  my_executable  [kernel.vmlinux]           [k] __mod_node_page_state
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073256
     0.00%  my_executable  [kernel.vmlinux]           [k] generic_permission
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073924
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073197
     0.00%  my_executable  [kernel.vmlinux]           [k] do_user_addr_fault
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734d2
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073575
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073af4
     0.00%  my_executable  libc.so.6                  [.] malloc
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c31
     0.00%  my_executable  [kernel.vmlinux]           [k] profile_tick
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a63
     0.00%  my_executable  [kernel.vmlinux]           [k] kfree
     0.00%  my_executable  [kernel.vmlinux]           [k] __alloc_pages
     0.00%  my_executable  [kernel.vmlinux]           [k] switch_fpu_return
     0.00%  my_executable  [kernel.vmlinux]           [k] kmem_cache_alloc
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000739f1
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b6a
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073cbf
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a3d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073428
     0.00%  my_executable  [kernel.vmlinux]           [k] do_huge_pmd_wp_page
     0.00%  my_executable  [kernel.vmlinux]           [k] __run_timers
     0.00%  my_executable  [kernel.vmlinux]           [k] intel_pmu_disable_all
     0.00%  my_executable  [kernel.vmlinux]           [k] hrtimer_run_queues
     0.00%  my_executable  [kernel.vmlinux]           [k] count_memcg_events.constprop.0
     0.00%  my_executable  [kernel.vmlinux]           [k] pmd_modify
     0.00%  my_executable  [kernel.vmlinux]           [k] __free_one_page
     0.00%  my_executable  [kernel.vmlinux]           [k] mas_next_slot
     0.00%  my_executable  [kvm]                      [k] 0x00000000000239ce
     0.00%  my_executable  [kernel.vmlinux]           [k] get_vma_policy
     0.00%  my_executable  [kernel.vmlinux]           [k] page_counter_try_charge
     0.00%  my_executable  [kernel.vmlinux]           [k] do_syscall_64
     0.00%  my_executable  [kernel.vmlinux]           [k] get_pfnblock_flags_mask
     0.00%  my_executable  [kernel.vmlinux]           [k] native_flush_tlb_one_user
     0.00%  my_executable  [kernel.vmlinux]           [k] down_read
     0.00%  my_executable  [kernel.vmlinux]           [k] show_cpuinfo
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007310a
     0.00%  my_executable  [kernel.vmlinux]           [k] smp_call_function_many_cond
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073bdb
     0.00%  my_executable  [kernel.vmlinux]           [k] kernfs_refresh_inode
     0.00%  my_executable  [kernel.vmlinux]           [k] enqueue_hrtimer
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_lock_irq
     0.00%  my_executable  [kernel.vmlinux]           [k] rb_erase
     0.00%  my_executable  [kernel.vmlinux]           [k] free_unref_page_commit
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_enter_from_user_mode
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731de
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b62
     0.00%  my_executable  [kernel.vmlinux]           [k] kmem_cache_alloc_node
     0.00%  my_executable  [kernel.vmlinux]           [k] rb_insert_color
     0.00%  my_executable  [kernel.vmlinux]           [k] __x86_indirect_thunk_r14
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073997
     0.00%  my_executable  [kernel.vmlinux]           [k] strcmp
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073abd
     0.00%  my_executable  [kernel.vmlinux]           [k] pgtable_trans_huge_deposit
     0.00%  my_executable  [kernel.vmlinux]           [k] dput
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734db
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009ae4
     0.00%  my_executable  libgomp.so.1.0.0           [.] gomp_thread_start
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733eb
     0.00%  my_executable  [kernel.vmlinux]           [k] __mod_zone_page_state
     0.00%  my_executable  [kernel.vmlinux]           [k] enqueue_task_fair
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073240
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073928
     0.00%  my_executable  [kernel.vmlinux]           [k] native_flush_tlb_local
     0.00%  my_executable  [kernel.vmlinux]           [k] core_get_val
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000730c8
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007317d
     0.00%  my_executable  [kernel.vmlinux]           [k] cpu_util
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a58
     0.00%  my_executable  [kernel.vmlinux]           [k] step_into
     0.00%  my_executable  [kernel.vmlinux]           [k] mem_cgroup_handle_over_high
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073f70
     0.00%  my_executable  [kernel.vmlinux]           [k] __intel_pmu_enable_all.isra.0
     0.00%  my_executable  [kernel.vmlinux]           [k] update_group_capacity
     0.00%  my_executable  [kvm]                      [k] 0x0000000000023a60
     0.00%  my_executable  [kernel.vmlinux]           [k] __rseq_handle_notify_resume
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_rq_lock_irqsave
     0.00%  my_executable  [kvm]                      [k] 0x00000000000239e1
     0.00%  my_executable  [kernel.vmlinux]           [k] _find_first_bit
     0.00%  my_executable  [kernel.vmlinux]           [k] ttwu_do_activate
     0.00%  my_executable  [kernel.vmlinux]           [k] __dev_queue_xmit
     0.00%  my_executable  [kernel.vmlinux]           [k] update_wall_time
     0.00%  my_executable  [kernel.vmlinux]           [k] numa_migrate_prep
     0.00%  my_executable  [kernel.vmlinux]           [k] mpol_misplaced
     0.00%  my_executable  [kernel.vmlinux]           [k] psi_task_switch
     0.00%  my_executable  [kernel.vmlinux]           [k] migrate_misplaced_folio
     0.00%  my_executable  [kernel.vmlinux]           [k] migrate_pages_batch
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_remove_rmap_pmd
     0.00%  my_executable  [kernel.vmlinux]           [k] task_work_run
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_migrate_flags
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b58
     0.00%  my_executable  [kernel.vmlinux]           [k] kernfs_dop_revalidate
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_unlock_irqrestore
     0.00%  my_executable  [kernel.vmlinux]           [k] perf_iterate_ctx
     0.00%  my_executable  [kernel.vmlinux]           [k] tick_nohz_get_idle_calls_cpu
     0.00%  my_executable  [kernel.vmlinux]           [k] __virt_addr_valid
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000099526
     0.00%  my_executable  [kernel.vmlinux]           [k] __kmalloc_node
     0.00%  my_executable  [kernel.vmlinux]           [k] __d_lookup
     0.00%  my_executable  [kernel.vmlinux]           [k] wakeup_preempt
     0.00%  my_executable  [kernel.vmlinux]           [k] asm_exc_page_fault
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_lruvec_lock_irq
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073951
     0.00%  my_executable  [kernel.vmlinux]           [k] rep_movs_alternative
     0.00%  my_executable  [kernel.vmlinux]           [k] next_uptodate_folio
     0.00%  my_executable  [kernel.vmlinux]           [k] __mod_memcg_state
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000739a4
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734c0
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a87
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073aeb
     0.00%  my_executable  [kernel.vmlinux]           [k] do_anonymous_page
     0.00%  my_executable  [kernel.vmlinux]           [k] inode_permission
     0.00%  my_executable  [kernel.vmlinux]           [k] ___slab_alloc
     0.00%  my_executable  [kernel.vmlinux]           [k] do_filp_open
     0.00%  my_executable  libc.so.6                  [.] sched_setaffinity
     0.00%  my_executable  [kernel.vmlinux]           [k] walk_component
     0.00%  my_executable  [kernel.vmlinux]           [k] irq_exit_rcu
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a51
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073149
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000732e3
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073ade
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073bdf
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d44
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a91
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073472
     0.00%  my_executable  [kernel.vmlinux]           [k] __kmalloc
     0.00%  my_executable  [kernel.vmlinux]           [k] __memcg_kmem_charge_page
     0.00%  my_executable  [kernel.vmlinux]           [k] _compound_head
     0.00%  my_executable  [kernel.vmlinux]           [k] mas_find
     0.00%  my_executable  [kernel.vmlinux]           [k] filemap_get_entry
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073145
     0.00%  my_executable  [kernel.vmlinux]           [k] format_decode
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000a420
     0.00%  my_executable  [kernel.vmlinux]           [k] __snmp6_fill_stats64.constprop.0
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000e570
     0.00%  my_executable  [kernel.vmlinux]           [k] number
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000e5ec
     0.00%  my_executable  [kernel.vmlinux]           [k] lru_gen_add_folio
     0.00%  my_executable  libc.so.6                  [.] pthread_create
     0.00%  my_executable  [kernel.vmlinux]           [k] inherit_event.isra.0
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_clock_noinstr
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073389
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073209
     0.00%  my_executable  [kernel.vmlinux]           [k] __memcg_slab_free_hook
     0.00%  my_executable  [kernel.vmlinux]           [k] __check_heap_object
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007340a
     0.00%  my_executable  [kernel.vmlinux]           [k] try_to_migrate_one
     0.00%  my_executable  [kernel.vmlinux]           [k] sysfs_kf_seq_show
     0.00%  my_executable  [kernel.vmlinux]           [k] obj_cgroup_charge
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000739f7
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a77
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073955
     0.00%  my_executable  [kernel.vmlinux]           [k] llist_reverse_order
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073aff
     0.00%  my_executable  [kernel.vmlinux]           [k] fd_install
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733df
     0.00%  my_executable  libc.so.6                  [.] cfree
     0.00%  my_executable  [kernel.vmlinux]           [k] unmap_page_range
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015729b
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007398b
     0.00%  my_executable  libc.so.6                  [.] __strdup
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025ed
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025b2
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002652
     0.00%  my_executable  libc.so.6                  [.] strtoumax
     0.00%  my_executable  [kernel.vmlinux]           [k] up_read
     0.00%  my_executable  [kernel.vmlinux]           [k] kmalloc_trace
     0.00%  my_executable  [kernel.vmlinux]           [k] flush_tlb_func
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b33
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c15
     0.00%  my_executable  [kernel.vmlinux]           [k] seq_printf
     0.00%  my_executable  [kernel.vmlinux]           [k] vsnprintf
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007399d
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000097fcf
     0.00%  my_executable  libfabric.so.1.24.0        [.] 0x000000000000d578
     0.00%  my_executable  [kernel.vmlinux]           [k] entry_SYSRETQ_unsafe_stack
     0.00%  my_executable  libstencil.so              [.] mesh_drop
     0.00%  my_executable  [kernel.vmlinux]           [k] can_change_pte_writable
     0.00%  my_executable  [kernel.vmlinux]           [k] schedule
     0.00%  my_executable  [kernel.vmlinux]           [k] __bitmap_weight
     0.00%  my_executable  [kernel.vmlinux]           [k] early_xen_iret_patch
     0.00%  my_executable  [kernel.vmlinux]           [k] place_entity
     0.00%  my_executable  [kernel.vmlinux]           [k] pud_val
     0.00%  my_executable  [kernel.vmlinux]           [k] tlb_gather_mmu
     0.00%  my_executable  [kernel.vmlinux]           [k] vm_normal_folio
     0.00%  my_executable  [kernel.vmlinux]           [k] amd_clear_divider
     0.00%  my_executable  [kernel.vmlinux]           [k] smp_call_function_single_async
     0.00%  my_executable  [kernel.vmlinux]           [k] generic_exec_single
     0.00%  my_executable  [kernel.vmlinux]           [k] second_overflow
     0.00%  my_executable  [kernel.vmlinux]           [k] tcp_delack_timer_handler
     0.00%  my_executable  [kernel.vmlinux]           [k] memcpy_orig
     0.00%  my_executable  [kernel.vmlinux]           [k] tlb_finish_mmu
     0.00%  my_executable  [kernel.vmlinux]           [k] rcu_core
     0.00%  my_executable  [kernel.vmlinux]           [k] skb_network_protocol
     0.00%  my_executable  [kernel.vmlinux]           [k] put_prev_entity
     0.00%  my_executable  [kernel.vmlinux]           [k] __pmd_trans_huge_lock
     0.00%  my_executable  [kernel.vmlinux]           [k] perf_ctx_disable
     0.00%  my_executable  [kernel.vmlinux]           [k] raw_spin_rq_lock_nested
     0.00%  my_executable  [kernel.vmlinux]           [k] vruntime_eligible
     0.00%  my_executable  [kvm]                      [k] 0x0000000000023a36
     0.00%  my_executable  [kernel.vmlinux]           [k] note_gp_changes
     0.00%  my_executable  [kernel.vmlinux]           [k] dma_map_page_attrs
     0.00%  my_executable  [kernel.vmlinux]           [k] __rb_insert_augmented
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_clock_tick
     0.00%  my_executable  [kernel.vmlinux]           [k] enqueue_task
     0.00%  my_executable  [kernel.vmlinux]           [k] pmdp_invalidate_ad
     0.00%  my_executable  [kernel.vmlinux]           [k] kthread_is_per_cpu
     0.00%  my_executable  [kernel.vmlinux]           [k] find_busiest_group
     0.00%  my_executable  [kernel.vmlinux]           [k] __smp_call_single_queue
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_exit
     0.00%  my_executable  [kernel.vmlinux]           [k] do_nocb_deferred_wakeup.isra.0
     0.00%  my_executable  [kernel.vmlinux]           [k] __perf_event_task_sched_out
     0.00%  my_executable  [kvm]                      [k] 0x0000000000023a4c
     0.00%  my_executable  [kernel.vmlinux]           [k] mem_cgroup_from_task
     0.00%  my_executable  [igb]                      [k] 0x0000000000008031
     0.00%  my_executable  [kernel.vmlinux]           [k] pgtable_trans_huge_withdraw
     0.00%  my_executable  [kernel.vmlinux]           [k] destroy_large_folio
     0.00%  my_executable  [kernel.vmlinux]           [k] release_pages
     0.00%  my_executable  [kernel.vmlinux]           [k] free_pcppages_bulk
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_get_anon_vma
     0.00%  my_executable  [kernel.vmlinux]           [k] memcg_check_events
     0.00%  my_executable  [kernel.vmlinux]           [k] __lruvec_stat_mod_folio
     0.00%  my_executable  [kernel.vmlinux]           [k] alloc_misplaced_dst_folio
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_add_anon_rmap_pmd
     0.00%  my_executable  [kernel.vmlinux]           [k] __page_cache_release
     0.00%  my_executable  [kernel.vmlinux]           [k] resched_curr
     0.00%  my_executable  [kernel.vmlinux]           [k] page_vma_mapped_walk
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_add_lru
     0.00%  my_executable  [kvm]                      [k] 0x0000000000023a0e
     0.00%  my_executable  [kernel.vmlinux]           [k] __enqueue_entity
     0.00%  my_executable  [kernel.vmlinux]           [k] update_rt_rq_load_avg
     0.00%  my_executable  [kernel.vmlinux]           [k] __percpu_counter_sum
     0.00%  my_executable  [kernel.vmlinux]           [k] may_open
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_setaffinity
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b53
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x00000000000249e4
     0.00%  my_executable  [kernel.vmlinux]           [k] shared_cpu_map_show
     0.00%  my_executable  [kernel.vmlinux]           [k] mod_objcg_state
     0.00%  my_executable  libc.so.6                  [.] __sched_cpufree
     0.00%  my_executable  [kernel.vmlinux]           [k] ksys_read
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009872
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009a7e
     0.00%  my_executable  libhwloc.so.15.7.0         [.] hwloc_linux_set_tid_cpubind
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000097f07
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] opal_hash_table_remove_all
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015b046
     0.00%  my_executable  [kernel.vmlinux]           [k] seq_read_iter
     0.00%  my_executable  [kernel.vmlinux]           [k] bpf_probe_read_kernel
     0.00%  my_executable  [kernel.vmlinux]           [k] newidle_balance
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000730cb
     0.00%  my_executable  [kernel.vmlinux]           [k] percpu_counter_add_batch
     0.00%  my_executable  [kernel.vmlinux]           [k] kvfree_call_rcu
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a2ee
     0.00%  my_executable  libgomp.so.1.0.0           [.] gomp_team_start
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073128
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073734
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073570
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c1f
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073bf7
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073987
     0.00%  my_executable  [kernel.vmlinux]           [k] __x86_indirect_thunk_rbx
     0.00%  my_executable  [kernel.vmlinux]           [k] set_ptes.isra.0
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734ed
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733fc
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007393e
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007359f
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735c0
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000730c0
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007326b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073163
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734f2
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731d1
     0.00%  my_executable  [kernel.vmlinux]           [k] run_timer_softirq
     0.00%  my_executable  [kernel.vmlinux]           [k] vma_alloc_folio
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007324b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073971
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734b4
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734c9
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b0c
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073bba
     0.00%  my_executable  [kernel.vmlinux]           [k] lruvec_stat_mod_folio.constprop.0
     0.00%  my_executable  [kernel.vmlinux]           [k] propagate_protected_usage
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x00000000000095b2
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000730d8
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] opal_free_list_grow_st
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] 0x000000000003de57
     0.00%  my_executable  [kernel.vmlinux]           [k] __fput
     0.00%  my_executable  libfabric.so.1.24.0        [.] 0x0000000000025ff9
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] 0x000000000003ca46
     0.00%  my_executable  [kernel.vmlinux]           [k] try_to_wake_up
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] opal_hash_table_get_value_ptr
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] mca_base_var_generate_full_name4
     0.00%  my_executable  [kernel.vmlinux]           [k] mctp_dump_addrinfo
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000001b33
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000118172
     0.00%  my_executable  [kernel.vmlinux]           [k] inet6_dump_addr
     0.00%  my_executable  [kernel.vmlinux]           [k] memset
     0.00%  my_executable  libucs.so.0.0.0            [.] 0x0000000000080e4a
     0.00%  my_executable  [kernel.vmlinux]           [k] alloc_pages
     0.00%  my_executable  [kernel.vmlinux]           [k] __memcg_slab_post_alloc_hook
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734e4
     0.00%  my_executable  [kernel.vmlinux]           [k] ethtool_get_settings
     0.00%  my_executable  [kernel.vmlinux]           [k] mm_update_next_owner
     0.00%  my_executable  [kernel.vmlinux]           [k] __cgroup_account_cputime
     0.00%  my_executable  [kernel.vmlinux]           [k] _find_next_or_bit
     0.00%  my_executable  libfabric.so.1.24.0        [.] 0x000000000001b140
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000099933
     0.00%  my_executable  [kernel.vmlinux]           [k] kfree_skbmem
     0.00%  my_executable  [kernel.vmlinux]           [k] obj_cgroup_uncharge
     0.00%  my_executable  [kernel.vmlinux]           [k] mast_split_data
     0.00%  my_executable  [kernel.vmlinux]           [k] __d_lookup_rcu
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000001079f
     0.00%  my_executable  [kernel.vmlinux]           [k] lru_add_fn
     0.00%  my_executable  [kernel.vmlinux]           [k] perf_event_alloc
     0.00%  my_executable  [kernel.vmlinux]           [k] kmalloc_node_trace
     0.00%  my_executable  [kernel.vmlinux]           [k] mas_ascend
     0.00%  my_executable  [kernel.vmlinux]           [k] hsw_hw_config
     0.00%  my_executable  [kernel.vmlinux]           [k] copy_process
     0.00%  my_executable  [kernel.vmlinux]           [k] mt_find
     0.00%  my_executable  [kernel.vmlinux]           [k] can_vma_merge_before
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] _dl_allocate_tls_init
     0.00%  my_executable  [kernel.vmlinux]           [k] strncpy_from_user
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x000000000000290b
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a5c0
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x00000000000248b8
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002157
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009ac04
     0.00%  my_executable  libc.so.6                  [.] access
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x0000000000020278
     0.00%  my_executable  [kernel.vmlinux]           [k] errseq_sample
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000739fc
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a5d6
     0.00%  my_executable  [kernel.vmlinux]           [k] mod_memcg_state
     0.00%  my_executable  [kernel.vmlinux]           [k] size_show
     0.00%  my_executable  [kernel.vmlinux]           [k] set_root
     0.00%  my_executable  [kernel.vmlinux]           [k] bitmap_string.isra.0
     0.00%  my_executable  [kernel.vmlinux]           [k] make_vfsuid
     0.00%  my_executable  [kernel.vmlinux]           [k] __refill_stock
     0.00%  my_executable  [kernel.vmlinux]           [k] mutex_unlock
     0.00%  my_executable  [kernel.vmlinux]           [k] obj_cgroup_uncharge_pages
     0.00%  my_executable  [kernel.vmlinux]           [k] do_dentry_open
     0.00%  my_executable  [kernel.vmlinux]           [k] filemap_map_pages
     0.00%  my_executable  [kernel.vmlinux]           [k] _find_next_zero_bit
     0.00%  my_executable  [kernel.vmlinux]           [k] current_obj_cgroup
     0.00%  my_executable  [kernel.vmlinux]           [k] perf_event_mmap
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x000000000000293a
     0.00%  my_executable  libpmix.so.2.9.5           [.] PMIx_Value_unload
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000028f3
     0.00%  my_executable  libc.so.6                  [.] 0x000000000004d175
     0.00%  my_executable  libc.so.6                  [.] 0x00000000001593e8
     0.00%  my_executable  libc.so.6                  [.] 0x000000000004d13f
     0.00%  my_executable  [kernel.vmlinux]           [k] pci_read_config
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000159413
     0.00%  my_executable  [kernel.vmlinux]           [k] mntput_no_expire
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000159fe1
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000739b9
     0.00%  my_executable  libc.so.6                  [.] 0x00000000001569c7
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000159453
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000159665
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025a9
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025fa
     0.00%  my_executable  [kernel.vmlinux]           [k] slab_update_freelist.isra.0
     0.00%  my_executable  [kernel.vmlinux]           [k] lockref_put_return
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005f32f
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007312a
     0.00%  my_executable  libc.so.6                  [.] 0x000000000004d058
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a565
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a055
     0.00%  my_executable  libc.so.6                  [.] 0x00000000001568a4
     0.00%  my_executable  [kernel.vmlinux]           [k] __fdget_pos
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002740
